siteID,date,obs,spp,bandNumber,colorCombo,mass,wing,tl,age,sex,cpBp,fat
CLYDEPKGA1,2016-06-23,TG RR RS,GRCA,2651-52455,"B,XG",34.7,90,94,ASY,M,CP,0
CLYDEPKGA1,2016-06-23,TG RR RS,GRCA,2651-52456,"WX,O",34.6,92,91,ASY,M,CP,0
CLYDEPKGA1,2017-05-20,TAG,GRCA,2651-52455,"B,XG",35.7,90,99999,ASY,M,CP,0
CLYDEPKGA1,2017-05-17,TAG,GRCA,2651-52456,"WX,O",37.2,99999,99999,ASY,M,CP,0
DELUBILMA1,2016-07-09,BSE,GRCA,2651-43439,"OO,X",37.8,93,94,ASY,M,CP,0.5
DELUBILMA1,2016-07-09,BSE,GRCA,2651-65614,"RB,WX",38.7,91,96,ASY,F,BP,1
DELUBILMA1,2017-05-28,BD,GRCA,2651-43439,"OO,X",39,94,97,ASY,M,CP,0
DELUBILMA1,2016-06-10,SMB,GRCA,2651-43439,"OO,X",38.8,93,97,ASY,M,CP,0
GRIFROGMD1,2017-06-28,TBR,GRCA,2651-47696,"BX,B",37.5,90,96,ASY,M,CP,1
JACOSYDMD1,2016-06-24,TBR,GRCA,2651-51815,"RX,MM",36.1,87,92,SY,M,CP,1
JACOSYDMD1,2017-06-27,TBR,GRCA,2651-51815,"RX,-",34.9,90,95,ASY,M,noData,1
JACOSYDMD1,2016-05-16,JLM,GRCA,2651-51815,"RX,MM",33.2,86,91,AHY,U,noData,0
LORYSPKCO1,2016-07-05,PPM,GRCA,2231-55432,"X,KW",30.7,99999,99999,AHY,M,noData,99999
LORYSPKCO1,2016-07-09,PPM,GRCA,2231-55430,"R,GX",33,89,99999,noData,M,noData,99999
MARRPETMD2,2016-07-10,DLN,GRCA,2651-47696,"BX,B",38.7,90.5,96,ASY,M,CP,2
PINERIDCO1,2016-07-12,PPM,GRCA,2231-55428,"GO,X",33.5,99999,99999,AHY,M,noData,99999
PINERIDCO1,2016-07-12,PPM,GRCA,2231-55426,"-,XK",33.7,99999,99999,noData,M,noData,99999
SIZOOPKDC1,2016-07-05,TBR,GRCA,2671-02010,"OX,OR",36.8,88,97,ASY,M,CP,1
SIZOOPKDC1,2017-06-20,TBR,GRCA,2671-02010,"OX,OR",35.4,89,95,ASY,M,CP,1
SIZOOPKDC1,2017-06-29,TBR,GRCA,2671-02010,"OX,OR",35.4,89,95,ASY,M,CP,1
STEPJANMA1,2016-07-10,BSE,GRCA,2651-65626,"MY,WX",38.7,96,100,ASY,M,CP,0.5
STEPJANMA1,2017-06-20,ASJ,GRCA,2651-65626,"MY,WX",37,94,103,ASY,M,CP,0
TANGLAUDC1,2016-06-29,TBR,GRCA,2671-02002,"RB,X",35.2,94,102,AHY,M,CP,0.5
WHEATPKMD1,2016-07-15,TBR,GRCA,2671-02024,"GX,WO",38.5,89,90,SY,M,CP,0
WHEATPKMD1,2016-07-15,TBR,GRCA,2671-02025,"XY,YY",34.5,91,96,ASY,M,noData,0
WHEATPKMD1,2016-07-15,TBR,GRCA,2671-02020,"BX,BR",34.7,92,100,ASY,F,BP,0.5
WHEATPKMD1,2016-07-15,TBR,GRCA,2671-02021,"WO,PX",36.1,88,95,SY,F,BP,99999
WHEATPKMD1,2016-07-20,TAG,GRCA,2671-02034,"XM,GW",40,91,96,ASY,M,CP,2
WHEATPKMD1,2017-05-09,TBR,GRCA,2671-02002,"RB,X",35.2,96,102,ASY,M,CP,0
WHEATPKMD1,2017-05-09,TBR,GRCA,2671-02034,"X,GW",36.6,92,97,ASY,M,CP,0
WHEATPKMD1,2017-05-09,TBR,GRCA,2671-02024,"GX,WO",37.2,91,98,ASY,M,CP,0
WHEATPKMD1,2017-05-09,TBR,GRCA,2671-02021,"WO,PX",41.8,91,93,ASY,F,noData,99999
WHEATPKMD1,2017-05-16,DLM,GRCA,2671-02020,"OX,BR",40.9,95,103,ASY,F,BP,99999
